eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1994,9,11,1,41,22.0,,-35.689999999999998,-5.46,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1995,2,9,22,17,22.0,,-54.200000000000003,-12.470000000000001,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1995,4,21,8,51,27.0,,-47.670000000000002,-19.140000000000001,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1995,4,22,16,50,50.0,,-38.289999999999999,-4.4100000000000001,,,,4.0,,3.2000000000000002,0.29999999999999999,
,,1995,5,10,1,37,56.0,,-40.409999999999997,-3.9100000000000001,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1995,8,27,20,8,35.0,,-43.939999999999998,-16.670000000000002,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1996,3,12,10,18,36.0,,-34.659999999999997,-28.43,,,,0.0,,4.4000000000000004,0.29999999999999999,
,,1996,3,13,5,5,58.0,,-51.869999999999997,-15.609999999999999,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1996,5,10,6,0,43.0,,-51.869999999999997,-15.609999999999999,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1996,6,11,20,38,37.0,,-48.68,-22.73,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1996,8,15,9,24,36.0,,-51.869999999999997,-15.609999999999999,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1996,10,18,21,44,1.0,,-46.740000000000002,-21.039999999999999,,,,0.0,,3.7000000000000002,0.33000000000000002,
,,1996,10,26,20,30,17.0,,-40.5,-22.710000000000001,,,,0.0,,3.7000000000000002,0.29999999999999999,
,,1996,11,13,23,39,8.0,,-50.109999999999999,-12.26,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1996,11,26,4,14,24.0,,-56.799999999999997,-11.390000000000001,,,,0.0,,3.8999999999999999,0.29999999999999999,
,,1996,12,10,17,44,18.0,,-51.869999999999997,-15.609999999999999,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1997,5,27,20,7,34.0,,-49.5,-13.52,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1997,6,4,6,7,23.0,,-40.789999999999999,-3.7599999999999998,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1997,6,9,12,2,16.0,,-40.43,-3.1899999999999999,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1997,9,19,22,3,22.0,,-38.289999999999999,-4.4100000000000001,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1997,11,17,17,27,1.0,,-45.75,-20.75,,,,0.0,,3.1000000000000001,0.33000000000000002,
,,1998,2,16,7,37,29.0,,-56.700000000000003,-17.91,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1998,3,2,6,26,51.0,,-49.630000000000003,-3.8599999999999999,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1998,3,10,23,32,44.0,,-56.740000000000002,-11.6,,,,5.0,,5.0,0.33000000000000002,
,,1998,3,17,12,3,45.0,,-35.899999999999999,-5.6600000000000001,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1998,4,11,17,24,53.0,,-48.479999999999997,-11.02,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1998,4,12,4,9,29.0,,-47.619999999999997,4.5700000000000003,,,,47.0,,5.2000000000000002,0.29999999999999999,
,,1998,4,18,2,32,18.0,,-44.270000000000003,-24.66,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1998,4,28,17,14,49.0,,-35.899999999999999,-5.6600000000000001,,,,0.0,,3.1000000000000001,0.29999999999999999,
